,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
 ,albert almora jr.,4,130,339,41,80,11,1,12,32,16,62,2,1,.236
260,aaron hicks,7,59,221,41,52,10,0,12,36,31,72,1,2,.235
 ,jacoby jones,4,88,298,39,70,19,3,11,26,27,94,7,2,.235
262,gerardo parra,11,119,274,38,64,14,1,9,48,19,59,8,3,.234
 ,brandon belt,9,157,526,76,123,32,3,17,57,83,127,4,3,.234
 ,maikel franco,6,123,389,48,91,17,0,17,56,36,61,0,0,.234
 ,manuel margot,4,151,398,59,93,19,3,12,37,38,88,20,4,.234
 ,steven duggar,2,73,261,26,61,12,2,4,28,16,78,1,4,.234
 ,cavan biggio,1,100,354,66,83,17,2,16,48,71,123,14,0,.234
268,martin prado,14,104,245,26,57,9,0,2,15,12,41,0,0,.233
 ,jake marisnick,7,120,292,46,68,16,3,10,34,17,95,10,3,.233
 ,johan camargo,3,98,232,31,54,12,1,7,32,15,43,1,0,.233
 ,christin stewart,2,104,369,32,86,25,1,10,40,34,103,0,1,.233
 ,paul dejong,3,159,583,97,136,31,1,30,78,62,149,9,5,.233
273,jason castro,9,79,237,39,55,9,0,13,30,33,88,0,0,.232
 ,jonathan lucroy,10,101,293,30,68,10,1,8,36,27,51,0,0,.232
 ,gary sanchez,5,106,396,62,92,12,1,34,77,40,125,0,1,.232
 ,randal grichuk,6,151,586,75,136,29,5,31,80,35,163,2,1,.232
 ,kole calhoun,8,152,552,92,128,29,1,33,74,70,162,4,1,.232
 ,rio ruiz,4,127,370,35,86,13,2,12,46,40,88,0,1,.232
279,tucker barnhart,6,115,316,32,73,14,0,11,40,44,83,1,0,.231
 ,joey wendle,4,75,238,32,55,13,2,3,19,14,47,8,3,.231
281,jarrod dyson,10,130,400,65,92,11,2,7,27,47,86,30,4,.230
 ,teoscar hernandez,4,125,417,58,96,19,2,26,65,45,153,6,3,.230
283,tyler flowers,11,85,271,36,62,11,3,11,34,31,105,0,0,.229
 ,greg allen,3,89,231,30,53,9,3,4,27,11,53,8,2,.229
285,brandon crawford,9,147,500,58,114,24,2,11,59,53,117,3,2,.228
 ,hernan perez,8,91,232,29,53,11,0,8,18,11,66,5,1,.228
 ,kevin kiermaier,7,129,447,60,102,20,7,14,55,26,104,19,5,.228
288,logan forsythe,9,101,317,38,72,17,1,7,39,44,100,2,0,.227
 ,mallex smith,4,134,510,70,116,19,9,6,37,42,141,46,9,.227
 ,rowdy tellez,2,111,370,49,84,19,0,21,54,29,116,1,1,.227
291,matt carpenter,9,129,416,59,94,20,2,15,46,63,129,6,1,.226
 ,matt adams,8,111,310,42,70,14,0,20,56,20,115,0,0,.226
 ,j.p. crawford,3,93,345,43,78,21,4,7,46,43,83,5,3,.226
 ,austin riley,1,80,274,41,62,11,1,18,49,16,108,0,2,.226
 ,jake bauers,2,117,372,46,84,16,1,12,43,45,115,3,3,.226
 ,rhys hoskins,3,160,570,86,129,33,5,29,85,116,173,2,2,.226
297,jackie bradley jr.,7,147,494,69,111,28,3,21,62,56,155,8,6,.225
 ,guillermo heredia,4,89,204,31,46,13,0,5,20,18,60,2,2,.225
 ,stevie wilkerson,2,119,329,41,74,18,2,10,35,22,108,3,3,.225
300,yan gomes,8,97,314,36,70,16,0,12,43,38,84,2,0,.223
301,orlando arcia,4,152,494,51,110,16,1,15,59,43,109,8,5,.223
 ,luis urias,2,71,215,27,48,8,1,4,24,25,56,0,1,.223
303,ronny rodriguez,2,84,276,29,61,12,3,14,43,13,82,3,1,.221
 ,ryan cordell,2,97,217,22,48,8,0,7,24,19,69,3,1,.221
305,russell martin,14,83,209,29,46,5,0,6,20,30,60,1,0,.220
 ,khris davis,7,136,481,61,106,11,0,23,73,47,146,0,0,.220
 ,mitch haniger,4,63,246,46,54,13,1,15,32,30,81,4,0,.220
308,ronald guzman,2,87,256,34,56,20,0,10,36,32,87,1,2,.219
309,billy hamilton,7,119,316,41,69,14,2,0,15,32,87,22,6,.218
 ,jurickson profar,6,139,459,65,100,24,2,20,67,48,75,9,1,.218
 ,brandon drury,5,120,418,43,91,21,1,15,41,25,113,0,1,.218
312,ian kinsler,14,87,258,28,56,12,0,9,22,19,54,2,4,.217
313,jay bruce,12,98,310,43,67,17,0,26,59,19,82,1,0,.216
 ,hunter renfroe,4,140,440,64,95,19,1,33,64,46,154,5,0,.216
315,justin upton,13,63,219,34,47,8,0,12,40,32,78,1,1,.215
 ,gordon beckham,11,83,223,29,48,13,2,6,15,13,68,3,1,.215
 ,billy mckinney,2,84,251,37,54,14,1,12,28,19,73,0,2,.215
318,martin maldonado,9,105,333,46,71,19,0,12,27,32,86,0,0,.213
 ,juan lagares,7,133,258,38,55,12,1,5,27,22,75,4,1,.213
 ,daniel robertson,3,74,207,23,44,9,1,2,19,24,59,2,2,.213
321,tony kemp,4,110,245,31,52,9,4,8,29,23,47,4,4,.212
322,john hicks,5,95,319,29,67,15,0,13,35,13,109,1,1,.210
323,welington castillo,10,72,230,19,48,12,0,12,41,16,74,0,0,.209
324,justin smoak,10,121,414,54,86,16,0,22,61,79,106,0,0,.208
 ,daniel vogelbach,4,144,462,73,96,17,0,30,76,92,149,0,0,.208
 ,richie martin,1,120,283,29,59,8,3,6,23,14,83,10,1,.208
 ,tyler white,4,83,240,18,50,14,0,3,23,36,78,0,0,.208
328,danny jansen,2,107,347,41,72,12,1,13,43,31,79,0,1,.207
329,dylan moore,1,113,247,31,51,14,2,9,28,25,93,11,9,.206
330,rougned odor,6,145,522,77,107,30,1,30,93,52,178,11,9,.205
 ,harrison bader,3,128,347,54,71,14,3,12,39,46,117,11,3,.205
332,jeimer candelario,4,94,335,33,68,17,2,8,32,43,99,3,1,.203
 ,austin barnes,5,75,212,28,43,12,1,5,25,23,56,3,0,.203
334,grayson greiner,2,58,208,18,42,5,1,5,19,13,70,0,0,.202
335,yonder alonso,10,121,292,34,58,13,0,10,37,39,70,0,1,.199
 ,leonys martin,9,65,236,32,47,7,0,9,19,21,78,4,5,.199
337,ryan o'hearn,2,105,328,32,64,13,1,14,38,39,99,0,1,.195
338,derek dietrich,7,113,251,41,47,8,2,19,43,28,74,1,1,.187
339,curtis granderson,16,138,317,44,58,17,1,12,34,41,98,0,3,.183
340,chris davis,12,105,307,26,55,9,0,12,36,39,139,0,0,.179
341,austin hedges,5,102,312,28,55,9,0,11,36,27,109,1,0,.176
342,lewis brinson,3,75,226,15,39,9,1,0,15,13,74,1,1,.173
343,keon broxton,5,100,204,24,34,4,0,6,16,20,104,10,6,.167
344,mike zunino,7,90,266,30,44,10,1,9,32,20,98,0,0,.165
345,jeff mathis,15,86,228,17,36,9,0,2,12,15,87,1,0,.158
346,travis shaw,5,86,230,22,36,5,0,7,16,36,89,0,0,.157
